time_s,charge_C,current_A,position_m,velocity_ms,force_N,inductance_H,power_W,energy_capacitor_J,energy_kinetic_J
0.0007826589434860901,179.17892687643894,965.5140240844003,-0.07016275339028248,40.55144122160888,0.0,0.0028293662517955872,345999.5334391901,32105.08783659225,1312.185724014187
0.0007829807604858789,179.17861617051335,965.4338462519734,-0.07014970289642704,40.55362078294583,0.0,0.0028296689055420468,345970.2011512095,32104.976492780148,1312.3267826816093
0.0007833025774856675,179.17830549039263,965.3536544634214,-0.07013665170111844,40.555800551144806,0.0,0.002829971654568295,345940.86401142774,32104.865158408466,1312.4678623194068
0.0007836243944854563,179.17799483608124,965.2734487196753,-0.07012359980429006,40.55798052616292,0.0,0.0028302744989092566,345911.5220202006,32104.753833478757,1312.6089629269616
0.0007839462114852449,179.17768420758364,965.1932290216679,-0.07011054720587541,40.56016070795725,0.0,0.0028305774385998634,345882.1751778847,32104.642517992568,1312.7500845036539
0.0007842680284850336,179.17737360490435,965.1129953703331,-0.07009749390580793,40.56234109648485,0.0,0.002830880473675054,345852.823484837,32104.53121195147,1312.891227048862
0.0007845898454848223,179.17706302804788,965.0327477666068,-0.07008443990402109,40.56452169170274,0.0,0.0028311836041697807,345823.4669414151,32104.419915357044,1313.0323905619614
0.000784911662484611,179.17675247701868,964.9524862114264,-0.07007138520044838,40.56670249356789,0.0,0.002831486830118999,345794.10554797703,32104.30862821082,1313.173575042325
0.0007852334794843996,179.17644195182126,964.8722107057308,-0.07005832979502333,40.568883502037274,0.0,0.002831790151557677,345764.73930488166,32104.197350514372,1313.314780489324
0.0007855552964841884,179.1761314524601,964.7919212504606,-0.07004527368767942,40.57106471706783,0.0,0.002832093568520789,345735.36821248813,32104.086082269267,1313.4560069023273
0.000785877113483977,179.17582097893973,964.711617846558,-0.0700322168783502,40.57324613861644,0.0,0.0028323970810433196,345705.9922711564,32103.974823477056,1313.5972542807012
0.0007861989304837658,179.17551053126456,964.6313004949666,-0.07001915936696924,40.57542776663998,0.0,0.00283270068916026,345676.61148124665,32103.863574139297,1313.7385226238093
0.0007865207474835544,179.17520010943915,964.5509691966316,-0.07000610115347007,40.5776096010953,0.0,0.0028330043929066136,345647.2258431199,32103.752334257562,1313.8798119310136
0.0007868425644833432,179.17488971346796,964.4706239525002,-0.06999304223778625,40.579791641939195,0.0,0.0028333081923173882,345617.8353571377,32103.641103833408,1314.0211222016735
0.0007871643814831318,179.17457934335548,964.3902647635207,-0.06997998261985142,40.58197388912846,0.0,0.0028336120874276035,345588.44002366206,32103.529882868388,1314.1624534351463
0.0007874861984829205,179.1742689991062,964.3098916306432,-0.06996692229959912,40.58415634261985,0.0,0.0028339160782722863,345559.0398430556,32103.41867136407,1314.3038056307864
0.0007878080154827092,179.1739586807246,964.2295045548194,-0.06995386127696301,40.586339002370075,0.0,0.00283422016488651,345529.63481568155,32103.30746932201,1314.4451787879466
0.0007881298324824979,179.17364838821516,964.1491035370026,-0.0699407995518767,40.58852186833583,0.0,0.0028345243473054363,345500.2249419035,32103.196276743754,1314.5865729059767
0.0007884516494822865,179.1733381215824,964.0686885781475,-0.06992773712427384,40.590704940473785,0.0,0.00283482862556424,345470.8102220859,32103.08509363089,1314.727987984225
